Date,WMT,FB,BP
2013-12-31,70.753525,54.650002,37.75835
2014-01-02,70.951355,54.709999,37.268997
2014-01-03,70.717583,54.560001,37.18354
2014-01-06,70.321945,57.200001,37.284527
2014-01-07,70.537735,57.919998,37.711742
2014-01-08,69.98027,58.23,37.851563
2014-01-09,70.214035,57.220001,37.944771
2014-01-10,70.169098,57.939999,38.216652
2014-01-13,69.674553,55.91,37.401039
2014-01-14,70.097168,57.740002,37.548626
2014-01-15,69.827415,57.599998,37.362198
2014-01-16,69.018181,57.189999,37.214619
2014-01-17,68.505676,56.299999,37.43988
2014-01-21,68.190971,58.509998,37.696209
2014-01-22,67.750381,57.509998,38.092358
2014-01-23,67.399734,56.630001,37.773884
2014-01-24,66.914185,54.450001,37.090336
2014-01-27,66.671417,53.549999,36.701958
2014-01-28,67.138962,55.139999,36.880611
2014-01-29,66.626465,53.529999,36.717491
2014-01-30,67.210899,61.080002,36.826241
2014-01-31,67.147972,62.57,36.422325
2014-02-03,65.331711,61.48,35.816448
2014-02-04,65.394661,62.75,35.940731
2014-02-05,65.520523,62.189999,35.762074
2014-02-06,65.475563,62.16,36.756332
2014-02-07,66.311768,64.32,36.981583
2014-02-10,66.320755,63.549999,36.896149
2014-02-11,67.255875,64.849998,37.75835
2014-02-12,67.399734,64.449997,38.025581
2014-02-13,67.759377,67.330002,38.080601
2014-02-14,68.146019,67.089996,38.363548
2014-02-18,67.732414,67.300003,38.835144
2014-02-19,67.300827,68.059998,38.772263
2014-02-20,66.104973,69.629997,39.188828
2014-02-21,65.745316,68.589996,39.149525
2014-02-24,65.95211,70.779999,39.511078
2014-02-25,65.95211,69.849998,39.825474
2014-02-26,67.237892,69.260002,39.628979
2014-02-27,67.04007,68.940002,39.621113
2014-02-28,67.165947,68.459999,39.778313
2014-03-03,66.64444,67.410004,38.51289
2014-03-04,67.552589,68.800003,38.780117
2014-03-05,67.255875,71.57,38.371414
2014-03-06,67.327805,70.839996,38.347832
2014-03-07,67.490692,69.800003,38.06488
2014-03-10,67.354965,72.029999,38.072742
2014-03-11,67.79837,70.099998,37.899826
2014-03-12,68.350388,70.879997,37.891964
2014-03-13,67.807419,68.830002,37.404659
2014-03-14,67.219193,67.720001,37.483253
2014-03-17,67.581177,68.739998,37.459682
2014-03-18,67.662636,69.190002,37.381084
2014-03-19,67.309692,68.239998,37.192451
2014-03-20,68.214638,66.970001,36.563663
2014-03-21,68.866203,67.239998,36.555805
2014-03-24,69.463463,64.099998,36.705139
2014-03-25,69.563011,64.889999,36.948792
2014-03-26,68.983841,60.389999,36.917351
2014-03-27,68.902397,60.970001,37.388943
2014-03-28,68.784775,60.009998,38.017719
2014-03-31,69.164841,60.240002,37.805508
2014-04-01,69.472519,62.619999,38.072742
2014-04-02,69.843536,62.720001,38.072742
2014-04-03,70.096931,59.490002,37.97842
2014-04-04,69.961182,56.75,38.080601
2014-04-07,69.961182,56.950001,37.81337
2014-04-08,70.748497,58.189999,37.695469
2014-04-09,70.558449,62.41,38.339973
2014-04-10,69.581108,59.16,37.946983
2014-04-11,69.228188,58.529999,37.294621
2014-04-14,70.024544,58.889999,37.365356
2014-04-15,69.572044,59.09,37.546135
2014-04-16,69.879745,59.720001,38.03344
2014-04-17,70.277916,58.939999,38.418575
2014-04-21,70.22361,61.240002,38.536465
2014-04-22,70.187408,63.029999,38.544327
2014-04-23,70.621796,61.360001,38.363548
2014-04-24,70.866119,60.869999,38.81942
2014-04-25,71.14666,57.709999,39.078796
2014-04-28,72.178307,56.139999,38.544327
2014-04-29,72.096848,58.150002,39.526806
2014-04-30,72.133034,59.779999,39.786171
2014-05-01,72.124008,61.150002,39.613266
2014-05-02,71.599129,60.459999,39.98267
2014-05-05,71.14666,61.220001,39.935509
2014-05-06,70.594643,58.529999,40.179161
2014-05-07,70.986183,57.389999,40.56477
2014-05-08,71.650871,56.759998,40.373955
2014-05-09,72.115257,57.240002,40.199032
2014-05-12,72.069725,59.830002,40.310349
2014-05-13,72.060616,59.830002,40.159286
2014-05-14,71.696404,59.23,40.095676
2014-05-15,69.95726,57.919998,40.469368
2014-05-16,70.121162,58.02,40.787399
2014-05-19,69.756935,59.209999,40.835094
2014-05-20,68.91925,58.560001,40.477322
2014-05-21,68.89193,60.490002,40.922554
2014-05-22,68.64608,60.52,40.715832
2014-05-23,68.84639,61.349998,40.628376
2014-05-27,68.828178,63.48,40.310349
2014-05-28,68.77356,63.509998,40.286499
2014-05-29,69.183289,63.830002,40.270599
2014-05-30,69.902626,63.299999,40.111588
2014-06-02,69.893524,63.080002,40.214943
2014-06-03,69.847992,62.869999,40.16724
2014-06-04,70.230423,63.34,39.809452
2014-06-05,70.403442,63.189999,40.103622
2014-06-06,70.303268,62.5,40.397808
2014-06-09,70.121162,62.880001,40.421654
2014-06-10,69.766037,65.769997,40.509117
2014-06-11,69.347198,65.779999,40.437561
2014-06-12,68.955666,64.290001,40.819199
2014-06-13,68.545914,64.5,41.089527
2014-06-16,68.600533,64.190002,41.137234
2014-06-17,68.281837,64.400002,41.057716
2014-06-18,68.928352,65.599998,41.87664
2014-06-19,69.083145,64.339996,41.87664
2014-06-20,68.910141,64.5,41.964111
2014-06-23,69.010284,65.370003,42.194675
2014-06-24,69.174187,65.720001,42.01181
2014-06-25,68.855515,67.440002,41.836895
2014-06-26,68.20903,67.129997,41.94025
2014-06-27,68.600533,67.599998,41.820988
2014-06-30,68.354713,67.290001,41.94025
2014-07-01,68.545914,68.059998,42.139015
2014-07-02,68.855515,66.449997,42.441147
2014-07-03,68.973869,66.290001,42.258286
2014-07-07,69.265244,65.290001,41.836895
2014-07-08,69.793365,62.759998,41.646076
2014-07-09,70.303268,64.970001,41.59837
2014-07-10,70.166679,64.870003,41.184929
2014-07-11,69.948158,66.339996,41.033863
2014-07-14,69.702316,67.900002,41.057716
2014-07-15,69.966377,67.169998,41.105431
2014-07-16,69.984581,67.660004,41.566566
2014-07-17,69.756935,66.410004,40.445515
2014-07-18,70.193993,68.419998,40.334194
2014-07-21,69.902626,69.400002,40.326248
2014-07-22,69.784256,69.269997,40.525024
2014-07-23,70.102936,71.290001,40.699936
2014-07-24,69.520187,74.980003,40.858944
2014-07-25,69.174187,75.190002,40.48526
2014-07-28,68.937454,74.919998,40.262646
2014-07-29,68.691612,73.709999,38.942818
2014-07-30,68.090645,74.68,39.388069
2014-07-31,66.997963,72.650002,38.934875
2014-08-01,66.961563,72.360001,38.958729
2014-08-04,66.961563,73.510002,39.221088
2014-08-05,66.779442,72.690002,38.616837
2014-08-06,68.007629,72.470001,38.508194
2014-08-07,67.778488,73.169998,38.113861
2014-08-08,68.4384,73.059998,38.146049
2014-08-11,68.154274,73.440002,38.178238
2014-08-12,68.025955,72.830002,38.178238
2014-08-13,67.851807,73.769997,37.928761
2014-08-14,68.181763,74.300003,38.154091
2014-08-15,67.732666,73.629997,38.138004
2014-08-18,68.273415,74.589996,38.548431
2014-08-19,68.63089,75.290001,38.870338
2014-08-20,68.704201,74.809998,38.781826
2014-08-21,69.244972,74.57,38.846199
2014-08-22,69.409935,74.57,38.733532
2014-08-25,69.373283,75.019997,39.071533
2014-08-26,69.217468,75.959999,38.773762
2014-08-27,69.519936,74.629997,38.918625
2014-08-28,69.56575,73.860001,38.564526
2014-08-29,69.199127,74.82,38.500153
2014-09-02,69.428268,76.68,37.985096
2014-09-03,69.666588,75.830002,38.395519
2014-09-04,70.17067,75.949997,36.126072
2014-09-05,71.041389,77.260002,36.963036
2014-09-08,70.143173,77.889999,36.480179
2014-09-09,70.33564,76.669998,36.335312
2014-09-10,70.124832,77.43,37.437855
2014-09-11,69.749054,77.919998,37.212521
2014-09-12,69.446617,77.480003,36.971085
2014-09-15,69.483269,74.580002,36.930843
2014-09-16,69.950691,76.080002,37.204464
2014-09-17,69.877373,76.43,37.204464
2014-09-18,69.859055,77.0,37.357368
2014-09-19,70.427299,77.910004,37.389568
2014-09-22,69.941536,76.800003,37.123997
2014-09-23,69.290787,78.290001,36.794033
2014-09-24,70.647285,78.540001,36.625031
2014-09-25,69.767387,77.220001,35.458115
2014-09-26,70.106522,78.790001,35.699547
2014-09-29,69.730736,79.0,35.844414
2014-09-30,70.088173,79.040001,35.369598
2014-10-01,69.767387,76.550003,35.152302
2014-10-02,69.868233,77.080002,34.733826
2014-10-03,70.867249,77.440002,34.363632
2014-10-06,70.894737,77.559998,34.645298
2014-10-07,70.848915,76.290001,34.250969
2014-10-08,71.710472,77.519997,34.725784
2014-10-09,71.362175,75.910004,33.792248
2014-10-10,71.756294,72.910004,33.430103
2014-10-13,71.087212,72.989998,33.172577
2014-10-14,71.472168,73.589996,32.681667
2014-10-15,68.924171,73.209999,32.697765
2014-10-16,67.659348,72.629997,32.770191
2014-10-17,67.915985,75.949997,33.349621
2014-10-20,68.869186,76.949997,33.124287
2014-10-21,69.675735,78.690002,34.009537
2014-10-22,69.684883,78.370003,33.446194
2014-10-23,69.886528,80.040001,33.937107
2014-10-24,70.005699,80.669998,33.937107
2014-10-27,70.198151,80.279999,33.760059
2014-10-28,69.978188,80.769997,34.476295
2014-10-29,70.014862,75.860001,34.524593
2014-10-30,70.069847,74.110001,34.693592
2014-10-31,69.904869,74.989998,34.975258
2014-11-03,69.914032,73.879997,34.170483
2014-11-04,70.812256,75.760002,33.518623
2014-11-05,71.215523,74.830002,34.106529
2014-11-06,71.316338,75.260002,34.188183
2014-11-07,72.196236,75.599998,34.343323
2014-11-10,72.810318,75.0,34.180019
2014-11-11,72.416214,74.610001,34.090199
2014-11-12,72.590332,74.720001,33.624783
2014-11-13,76.018219,74.25,33.208344
2014-11-14,76.036552,74.879997,33.42881
2014-11-17,76.59565,74.239998,33.396149
2014-11-18,76.797287,74.339996,33.632942
2014-11-19,77.897148,73.330002,33.918728
2014-11-20,77.52137,73.599998,34.106529
2014-11-21,77.585518,73.75,34.637272
2014-11-24,78.272926,74.010002,34.326992
2014-11-25,77.860481,75.629997,33.943218
2014-11-26,77.887978,77.620003,33.959553
2014-11-28,80.234329,77.699997,32.106026
2014-12-01,79.024498,75.099998,32.522461
2014-12-02,79.189484,75.459999,33.249176
2014-12-03,78.286255,74.879997,33.730919
2014-12-04,78.120338,75.239998,32.979713
2014-12-05,77.530487,76.360001,32.644939
2014-12-08,77.631874,76.519997,31.738586
2014-12-09,77.014351,76.839996,31.452803
2014-12-10,76.479767,76.18,30.81591
2014-12-11,77.263191,77.730003,30.48114
2014-12-12,77.244751,77.830002,29.59111
2014-12-15,77.364586,76.989998,28.529619
2014-12-16,76.461342,74.690002,29.199175
2014-12-17,77.631874,76.110001,30.775082
2014-12-18,79.207909,78.400002,31.289501
2014-12-19,78.489014,79.879997,32.171352
2014-12-22,79.613457,81.449997,31.926388
2014-12-23,79.871513,80.610001,31.942715
2014-12-24,79.659515,80.769997,31.803913
2014-12-26,80.101921,80.779999,31.828409
2014-12-29,79.853065,80.019997,31.86924
2014-12-30,79.991333,79.220001,31.322153
2014-12-31,79.152611,78.019997,31.126184
2015-01-02,79.171036,78.449997,31.126184
2015-01-05,78.94062,77.190002,29.476801
2015-01-06,79.548912,76.150002,29.256332
2015-01-07,81.659538,76.150002,29.329817
2015-01-08,83.383064,78.18,29.991207
2015-01-09,82.350784,77.739998,29.868731
2015-01-12,82.968292,76.720001,29.435966
2015-01-13,82.313919,76.449997,29.362478
2015-01-14,79.825432,76.279999,29.125679
2015-01-15,80.535103,74.050003,29.174683
2015-01-16,79.972893,75.18,30.913893
2015-01-20,79.899162,76.239998,30.775082
2015-01-21,79.853065,76.739998,31.697763
2015-01-22,81.383034,77.650002,31.828409
2015-01-23,81.576591,77.830002,31.763083
2015-01-26,81.68718,77.5,32.595943
2015-01-27,80.673355,75.779999,32.832737
2015-01-28,80.018982,76.239998,31.746756
2015-01-29,80.84848,78.0,31.6406
2015-01-30,78.323112,75.910004,31.705925
2015-02-02,78.995926,74.989998,32.546955
2015-02-03,79.438332,75.400002,33.559448
2015-02-04,79.862282,75.629997,33.028709
2015-02-05,80.44294,75.610001,33.788094
2015-02-06,80.489029,74.470001,33.616611
2015-02-09,79.18026,74.440002,33.975887
2015-02-10,80.452148,75.190002,33.681934
2015-02-11,79.576576,76.510002,33.433353
2015-02-12,79.161819,76.230003,34.253654
2015-02-13,79.088089,75.739998,34.742527
2015-02-17,79.226334,75.599998,34.618229
2015-02-18,79.530479,76.709999,34.593376
2015-02-19,76.977478,79.419998,34.129368
2015-02-20,77.696388,79.900002,34.203941
2015-02-23,77.972862,78.839996,34.154232
2015-02-24,77.945221,78.449997,34.460804
2015-02-25,77.02356,79.559998,34.725948
2015-02-26,77.23555,80.410004,34.270226
2015-02-27,77.35537,78.970001,34.336514
2015-03-02,77.383011,79.75,34.220509
2015-03-03,76.839211,79.599998,34.585087
2015-03-04,76.111099,80.900002,34.411091
2015-03-05,77.02356,81.209999,34.121078
2015-03-06,76.120331,80.010002,33.433353
2015-03-09,76.387611,79.440002,33.375347
2015-03-10,75.641052,77.550003,32.347916
2015-03-11,74.815857,77.57,31.67676
2015-03-12,75.937767,78.93,31.618759
2015-03-13,75.937767,78.050003,31.154755
2015-03-16,77.226585,78.07,31.113323
2015-03-17,76.605362,79.360001,31.337044
2015-03-18,76.521912,80.910004,32.604771
2015-03-19,75.585434,82.75,32.289913
2015-03-20,77.180222,83.800003,33.226204
2015-03-23,77.245125,84.43,33.259357
2015-03-24,77.004051,85.309998,32.737347
2015-03-25,75.399986,82.919998,33.151642
2015-03-26,75.928497,83.010002,32.985924
2015-03-27,75.427818,83.300003,32.820206
2015-03-30,76.521912,83.199997,33.010777
2015-03-31,76.262283,82.220001,32.405914
2015-04-01,74.834396,81.669998,32.729061
2015-04-02,74.852943,81.559998,32.853344
2015-04-06,75.094009,82.440002,33.251064
2015-04-07,74.639679,82.32,33.350502
2015-04-08,75.131111,82.279999,33.781364
2015-04-09,74.954948,82.169998,34.26194
2015-04-10,74.778763,82.040001,34.419373
2015-04-13,74.444977,83.010002,34.162518
2015-04-14,74.315163,83.519997,34.634804
2015-04-15,73.935013,82.709999,35.148521
2015-04-16,73.471413,82.309998,35.256237
2015-04-17,72.210403,80.779999,35.537964
2015-04-20,72.451492,83.089996,35.479958
2015-04-21,72.34951,83.620003,35.446815
2015-04-22,72.720375,84.629997,35.827965
2015-04-23,73.415779,82.410004,36.126255
2015-04-24,74.027733,81.529999,36.010258
2015-04-27,73.591949,81.910004,35.662247
2015-04-28,73.341599,80.68,36.026825
2015-04-29,72.210403,80.470001,36.117966
2015-04-30,72.36805,78.769997,35.761673
2015-05-01,72.878006,78.989998,35.819679
2015-05-04,73.415779,78.809998,35.96883
2015-05-05,72.44223,77.559998,35.71196
2015-05-06,72.451553,78.099998,35.711964
2015-05-07,72.806122,78.43,35.148979
2015-05-08,73.272636,78.510002,35.888428
2015-05-11,72.871429,78.010002,35.779182
2015-05-12,73.673843,77.459999,35.871613
2015-05-13,72.927406,78.440002,35.938847
2015-05-14,73.449913,81.370003,36.098488
2015-05-15,73.935112,80.419998,35.97245
2015-05-18,74.56958,80.879997,35.619537
2015-05-19,71.313217,80.629997,35.148979
2015-05-20,70.818703,80.550003,35.359047
2015-05-21,71.014648,80.480003,36.048084
2015-05-22,70.781387,80.540001,35.711964
2015-05-26,69.885658,79.330002,34.980927
2015-05-27,70.15625,80.550003,35.115368
2015-05-28,69.829674,80.150002,34.9137
2015-05-29,69.297836,79.190002,34.838066
2015-06-01,69.727051,80.290001,34.409531
2015-06-02,69.540421,80.440002,34.871685
2015-06-03,69.87632,82.440002,34.644802
2015-06-04,69.185875,82.050003,34.132233
2015-06-05,68.168823,82.139999,34.081821
2015-06-08,67.748962,80.669998,34.056614
2015-06-09,67.61834,80.669998,34.073414
2015-06-10,68.047539,82.160004,34.686817
2015-06-11,68.056877,81.830002,34.804459
2015-06-12,67.581017,81.529999,34.283485
2015-06-15,67.114494,80.709999,34.384315
2015-06-16,67.506363,81.059998,34.375919
2015-06-17,67.860939,81.790001,34.628002
2015-06-18,68.0942,82.910004,34.67001
2015-06-19,67.870247,82.510002,34.577583
2015-06-22,67.916924,84.739998,34.888489
2015-06-23,67.711639,87.879997,34.905293
2015-06-24,67.534363,88.860001,35.148979
2015-06-25,67.049179,87.980003,35.19939
2015-06-26,67.291771,88.010002,34.745636
2015-06-29,66.638641,85.800003,33.871746
2015-06-30,66.181442,85.769997,33.577644
2015-07-01,67.067825,86.910004,32.997856
2015-07-02,67.049179,87.290001,34.695225
2015-07-06,67.674324,87.550003,33.535633
2015-07-07,68.849968,87.220001,33.36758
2015-07-08,68.168823,85.650002,32.897022
2015-07-09,67.907585,85.879997,32.880219
2015-07-10,68.224831,87.949997,33.527241
2015-07-13,68.933945,90.099998,33.577644
2015-07-14,68.849968,89.68,33.888557
2015-07-15,68.719345,89.760002,33.644875
2015-07-16,68.887291,90.849998,33.224735
2015-07-17,68.476753,94.970001,32.871811
2015-07-20,68.206154,97.910004,32.560909
2015-07-21,67.870247,98.389999,32.544102
2015-07-22,68.262161,97.040001,31.85508
2015-07-23,67.655663,95.440002,31.342501
2015-07-24,66.78791,96.949997,30.72909
2015-07-27,66.601303,94.169998,30.292152
2015-07-28,67.273102,95.290001,31.334095
2015-07-29,67.394409,96.989998,31.418127
2015-07-30,67.329117,95.209999,31.661808
2015-07-31,67.16114,94.010002,31.065212
2015-08-03,67.347755,94.139999,30.653473
2015-08-04,67.413071,94.059998,30.703888
2015-08-05,69.05706,96.440002,30.644081
2015-08-06,68.380676,95.120003,30.652632
2015-08-07,66.93396,94.300003,30.48177
2015-08-10,67.150024,94.150002,30.99435
2015-08-11,67.572762,93.620003,30.797861
2015-08-12,68.183403,94.190002,31.131042
2015-08-13,67.741852,93.43,30.686798
2015-08-14,67.995499,94.419998,30.558653
2015-08-17,67.553986,93.93,30.353619
2015-08-18,65.271194,95.169998,30.114414
2015-08-19,64.416298,95.309998,29.610369
2015-08-20,64.28479,90.559998,29.371166
2015-08-21,62.50927,86.059998,28.337448
2015-08-24,60.07616,82.089996,26.64592
2015-08-25,59.277657,83.0,26.235849
2015-08-26,60.902855,87.190002,26.569031
2015-08-27,62.077148,89.730003,28.217846
2015-08-28,61.006203,91.010002,28.414337
2015-08-31,60.808914,89.43,28.653543
2015-09-01,59.954041,87.230003,27.457508
2015-09-02,60.536484,89.889999,27.50877
2015-09-03,60.931038,88.150002,27.688173
2015-09-04,60.019798,88.260002,26.227306
2015-09-08,62.358955,89.529999,26.833864
2015-09-09,61.175297,90.440002,26.398165
2015-09-10,60.235874,91.980003,26.663002
2015-09-11,60.733757,92.050003,26.492144
2015-09-14,60.386166,92.309998,26.21022
2015-09-15,60.423748,92.900002,26.577574
2015-09-16,60.771343,93.449997,27.448969
2015-09-17,60.564671,94.339996,27.431881
2015-09-18,59.503117,94.400002,26.56049
2015-09-21,59.860104,95.550003,26.534855
2015-09-22,59.737972,92.959999,25.962469
2015-09-23,59.860104,93.970001,25.560946
2015-09-24,59.963432,94.410004,25.765976
2015-09-25,59.916458,92.769997,25.996643
2015-09-28,59.80373,89.209999,25.099615
2015-09-29,59.916458,86.669998,25.31319
2015-09-30,60.912243,89.900002,26.107702
2015-10-01,60.376774,90.949997,26.449425
2015-10-02,61.04377,92.07,27.782148
2015-10-05,61.879864,94.010002,28.610828
2015-10-06,61.70137,92.800003,29.311363
2015-10-07,62.340183,92.400002,30.507391
2015-10-08,62.828678,92.470001,30.720972
2015-10-09,62.650185,93.239998,30.720972
2015-10-12,62.875641,94.260002,30.21693
2015-10-13,62.687763,94.120003,29.670174
2015-10-14,56.39362,94.07,30.174212
2015-10-15,55.736027,95.959999,30.48177
2015-10-16,55.322678,97.540001,30.635546
2015-10-19,55.285103,98.470001,29.849575
2015-10-20,55.191158,97.0,29.87521
2015-10-21,55.087822,97.110001,30.020435
2015-10-22,55.332077,99.669998,30.686798
2015-10-23,54.768414,102.190002,30.515942
2015-10-26,54.505375,103.769997,29.943552
2015-10-27,53.998089,103.699997,29.747059
2015-10-28,54.148399,104.199997,30.533028
2015-10-29,54.449013,104.879997,30.507391
2015-10-30,53.772629,101.970001,30.498854
2015-11-02,54.120213,103.309998,30.99435
2015-11-03,54.58992,102.580002,31.805943
2015-11-04,54.834179,103.940002,31.571507
2015-11-05,55.059643,108.760002,30.868177
2015-11-06,55.219341,107.099998,30.50349
2015-11-09,54.946915,106.489998,30.286417
2015-11-10,55.125397,107.910004,30.190903
2015-11-11,54.092041,109.010002,29.860949
2015-11-12,53.500202,108.019997,29.088156
2015-11-13,53.0023,103.949997,28.983961
2015-11-16,54.364464,104.040001,29.939095
2015-11-17,56.290283,105.129997,29.678602
2015-11-18,57.239101,107.769997,30.477438
2015-11-19,57.023033,106.260002,30.607689
2015-11-20,56.431198,107.32,29.895681
2015-11-23,56.609692,106.949997,29.886992
2015-11-24,56.290283,105.739998,30.381926
2015-11-25,56.5909,105.410004,30.381926
2015-11-27,56.262108,105.449997,30.243004
2015-11-30,55.275711,104.239998,30.043289
2015-12-01,55.416622,107.120003,30.190903
2015-12-02,55.274525,106.07,29.366016
2015-12-03,55.928162,104.379997,28.879765
2015-12-04,56.515484,106.18,28.367466
2015-12-07,57.311207,105.610001,27.14316
2015-12-08,56.468117,106.489998,27.151842
2015-12-09,56.013416,104.599998,27.620724
2015-12-10,56.420753,105.419998,27.612041
2015-12-11,56.231293,102.120003,26.735056
2015-12-14,57.207001,104.660004,26.240122
2015-12-15,56.49654,104.550003,26.700323
2015-12-16,57.12175,106.790001,26.80452
2015-12-17,55.871319,106.220001,26.352999
2015-12-18,55.748177,104.040001,26.17934
2015-12-21,56.411278,104.769997,26.161976
2015-12-22,57.349098,105.510002,26.735056
2015-12-23,57.87011,104.629997,28.089607
2015-12-24,57.623817,105.019997,27.889898
2015-12-28,57.548031,105.93,27.533892
2015-12-29,58.362709,107.260002,27.672823
